samplename,copies,frequency,ct
1E5_0perc,100000,0,21.2
1E5_025perc,100000,0.0025,21.2
1E5_05perc,100000,0.005,21.2
1E5_1perc,100000,0.01,21.2
1E5_2perc,100000,0.02,21.2
1E5_5perc,100000,0.05,21.2
1E5_10perc,100000,0.1,21.2
1E5_100perc,100000,1,21.2
1E4_0perc,10000,0,24.8
1E4_025perc,10000,0.0025,24.8
1E4_05perc,10000,0.005,24.8
1E4_1perc,10000,0.01,24.8
1E4_2perc,10000,0.02,24.8
1E4_5perc,10000,0.05,24.8
1E4_10perc,10000,0.1,24.8
1E4_100perc,10000,1,24.8
1E3_0perc,1000,0,28.6
1E3_025perc,1000,0.0025,28.6
1E3_05perc,1000,0.005,28.6
1E3_1perc,1000,0.01,28.6
1E3_2perc,1000,0.02,28.6
1E3_5perc,1000,0.05,28.6
1E3_10perc,1000,0.1,28.6
1E3_100perc,1000,1,28.6
1E2_0perc,100,0,32.5
1E2_025perc,100,0.0025,32.5
1E2_05perc,100,0.005,32.5
1E2_1perc,100,0.01,32.5
1E2_2perc,100,0.02,32.5
1E2_5perc,100,0.05,32.5
1E2_10perc,100,0.1,32.5
1E2_100perc,100,1,32.5